dataset,model,algorithm,time
CIFAR-10,ResNet-18,base,1.2728712159999986
CIFAR-10,ResNet-18,Ed25519,11.594226205000012
CIFAR-10,ResNet-18,Dilithium2,0.0
CIFAR-10,ResNet-50,base,3.5739949849999846
CIFAR-10,ResNet-50,Ed25519,14.19998813700002
CIFAR-10,ResNet-50,Dilithium2,0.0
CIFAR-10,ResNet-152,base,7.872580583000001
CIFAR-10,ResNet-152,Ed25519,18.863593786999985
CIFAR-10,ResNet-152,Dilithium2,0.0
ImageNet,ResNet-18,base,58.89550246600004
ImageNet,ResNet-18,Ed25519,95.43226307100008
ImageNet,ResNet-18,Dilithium2,1522.4070577030002
ImageNet,ResNet-50,base,59.54944511900021
ImageNet,ResNet-50,Ed25519,133.24866422700006
ImageNet,ResNet-50,Dilithium2,1476.0927186280005
ImageNet,ResNet-152,base,125.58154926200041
ImageNet,ResNet-152,Ed25519,201.33253154199974
ImageNet,ResNet-152,Dilithium2,1465.12155884
